"","CHEX","ATAC","DNase","FAIRE"
"ATAC",0.25910923109614,5.70028101058632,3.92582291289249,4.36132331175206
"DNase",0.207210380279331,3.92582291289249,6.58338783101464,4.85593162971909
"FAIRE",0.258207395940193,4.36132331175206,4.85593162971909,6.50516845507934
"MethyLow",0.595226852310976,4.575756848561,4.43129184534867,3.65326810768424
"MethyMidLow",0.41014463099917,2.18227736351832,2.71759158706923,1.01234308304788
"MethyMidHigh",0.403225668655104,1.45901518242104,1.9248853323685,0.107544280622744
"MethyHigh",0.247839260534462,0.0555760336355249,-0.111069886107067,-1.90277672306261
"GRO",0.447020768992957,2.74092514867936,2.32929329289225,2.78901840782904
"SE",0.453802316854688,3.20213538966215,2.94231684954879,3.46510736279512
"RepOrig",0.186685522054489,0.639102575643964,0.687162608249061,0.869973795518618
"Rloop",0.502530180188117,2.42865210566426,2.12349838006245,2.57757940866912
"NonBDNAPeaks_Direct",0.576736772055067,-0.430827597657359,-0.286982021498574,0.227311912329611
"NonBDNAPeaks_Inverted",-0.0555423960995682,-0.00950827984613412,-0.133287483898844,-0.223884789617742
"NonBDNAPeaks_Mirror",0.274106573600999,-0.0548189518681852,-0.31350813422754,0.199924727510737
"NonBDNAPeaks_ZDNAMotifs",0.172580091418951,0.387061140823814,0.833013261984423,1.38461007088239
"NonBDNAPeaks_ShortTandem",0.457447430136305,-0.265445073737407,-0.458111064541669,-0.26868735466314
"NonBDNAPeaks_APhased",0.134664578912854,-0.552400301198134,-1.1328506642118,-0.471617063686079
"NonBDNAPeaks_GQuadruplexForming",0.273674835145588,2.04377276795389,2.02399414669762,1.25312200454255
"H3K27me3",0.0347077655793377,0.707307970318983,0.65446939240001,-0.309971607166688
"H3K36me3",0.272667046032051,0.763277957806313,0.658342583591317,1.11321664729878
"H3K4me1",0.219092189520868,3.11814151973482,3.17287007433315,3.33408103111382
"H3K9me3",0.429755763536978,-0.00293196769774084,1.61212332927592,1.5791314203095
"H3K79me2",0.378534975377942,2.74837107356029,2.55061946948107,2.69739915606731
"H3K9me1",0.0457152649321486,2.58238542703446,2.31757778095166,2.92927466014865
"H3K4me3",0.590706652728013,4.41205320143786,4.12332001334741,4.40428509480066
"H3K9ac",0.270620111606078,3.67608422090697,3.50390750253454,3.77396829777632
"H2AFZ",0.310613232465364,3.8594631701643,3.76952684282065,4.3254902002822
"H3K4me2",0.420210074185231,4.1582919096389,4.1094551619062,4.57173295333871
"H3K27ac",0.447382956694121,4.24455308496908,4.02194791762091,4.67427364798938
"TF_HDAC3",0.376453836748833,4.89686792031371,4.83962173987473,5.7136775182094
"TF_SMARCE1",0.433641076697381,4.57256844711614,4.77387895586434,5.33255321178521
"TF_ZNF280A",0.585412754935422,1.91265067272673,3.02958294947715,2.96724798299073
"TF_DNMT1",0.78839627618181,4.71794438273195,4.03112465915769,5.30488595565739
"TF_HDAC2",0.42811444386523,4.6608861378468,4.57417369522884,5.37826691428893
"TF_NCOA1",0.474646204208646,5.00625253176578,4.88466692699663,5.80176011216246
"TF_PHB2",0.730851968218492,4.76066521017361,4.69223451808893,5.58274137978795
"TF_STAT5A",0.356330773623089,5.02054060393426,5.30557752378309,5.90535626095617
"TF_IKZF1",0.365209750565178,4.00464190861856,4.49770867067902,4.86507272309154
"TF_GATA2",0.268280999197366,4.95159022518418,5.40107610494695,5.93165709758269
"TF_EGR1",0.485262257582683,4.73850803646733,5.18332235927853,5.16219424094132
"TF_TEAD4",0.274143975107815,4.71556216993153,5.2283844719805,5.59152572383583
"TF_ZZZ3",0.638694535910986,4.90260804683214,4.4602084031208,5.43743709230005
"TF_MIER1",0.597879837568993,4.42278996705441,4.26990887802676,5.02061241459144
"TF_NFE2",0.217295102612713,4.31912592976464,5.28993401430087,5.30875932931728
"TF_ZNF407",0.663797994075203,4.75832428009789,4.55451981855584,5.33234644663992
"TF_TARDBP",0.588484801526331,5.38484409584386,5.25637329439773,6.00974888148869
"TF_ETS1",0.681392764668562,5.3529594586162,4.89150202698789,5.57287793362273
"TF_RNF2",0.509546124414808,5.16158508226737,5.04895558004235,5.74477937929898
"TF_3xFLAG-ATF1",0.661479653913311,5.31051446087617,5.49418514766127,5.86879859992022
"TF_CBX3",0.405923495651493,4.66075003334389,4.57724336503784,5.43800502683956
"TF_MCM7",0.862204447597087,2.60539170862649,2.5059134076626,3.46487716129516
"TF_CUX1",0.385786591731254,4.84801727116394,4.94915721737625,5.68810501331361
"TF_MEIS2",0.234534611144394,4.20486919107739,4.71458220090785,5.00418796559273
"TF_ARID1B",0.313080948561041,4.29200524070122,4.85188492505042,5.18228014281527
"TF_ZEB2",0.413286120837128,4.59515005903429,4.75840148482895,5.41166408396967
"TF_HDAC1",0.470784798954806,4.66540199497244,4.67268978844271,5.38900608997613
"TF_GATA1",0.205506328305894,4.77665915614211,5.59874232829179,5.72584862672608
"TF_CHAMP1",0.544165152309262,4.15760723810704,4.42118304548499,4.97573541065073
"TF_CC2D1A",0.410255723501091,4.62467973032298,4.77752709632387,5.593606558933
"TF_ETV6",0.707151772124814,5.13324258729291,5.32388899684042,5.92517934909067
"TF_SIN3A",0.69629382666594,5.46081797664481,5.36740529346109,5.83302627177023
"TF_USF2",0.405376389218752,4.89667849444359,5.35341831335347,5.71783536716987
"TF_REST",0.268949985108431,4.89277670832571,5.31533167476408,5.61397136788001
"TF_3xFLAG-PBX2",0.48395045717227,4.9294543238641,5.42152362630888,5.67347938080213
"TF_YY1",0.654763773628357,5.22907876734299,5.05649570647077,5.60085833001224
"TF_MYNN",0.435326713246983,5.02356422648281,4.97455475312059,5.76272913635713
"TF_RFX1",0.187424609607177,3.62959254026515,3.90076561861047,4.26353106730112
"TF_MNT",0.513462566271297,4.97792780881477,4.66159906153289,5.52218284164116
"TF_MCM2",0.653184106479166,4.37644771842731,3.98652788960905,4.87205169600631
"TF_RBM25",0.150737994623519,2.7850552734661,2.85068897151477,3.28868819016756
"TF_TAL1",0.291253353497204,4.46242175352445,5.18530983681686,5.40574783031059
"TF_ZNF318",0.522840392658733,4.90480899303904,4.89073993485489,5.70639412610598
"TF_EP400",0.510350092361545,4.76403273886281,4.50496637771561,5.32451355456049
"TF_EWSR1",0.627073424234485,3.20052796132708,3.19642042168871,3.45382325672535
"TF_JUND",0.290351737105883,4.77443272651238,5.55737139638364,5.68332675048345
"TF_NFIC",0.267329311389179,4.02385636285689,4.29799419735458,4.72074965436562
"TF_UBTF",0.553968833726039,5.14329398727544,4.87968080765197,5.34735408064045
"TF_TRIM28",0.0480168392482838,1.71175693399054,2.48538349000806,2.55770087620528
"TF_BMI1",0.597264706619871,4.7402671638778,4.97804380045298,5.49869890280059
"TF_SRSF3",0.683642326158047,4.99271908736367,4.019435636554,4.27046843400647
"TF_BCLAF1",0.73026263339964,5.44099324864769,5.10512286336277,5.98321767367644
"TF_BRCA1",0.0816094244468388,0.812023628140743,1.46622184560783,1.38250763522028
"TF_ZBTB7A",0.524314527250677,4.87064874151576,4.70265180209712,5.034915705985
"TF_ZNF274",0.223169998552724,4.36369179054046,3.63150026059401,4.94058977105832
"TF_POLR2B",0.665018893985618,4.84319873426797,4.26109500497668,5.18129114327428
"TF_CBX5",0.428412840397311,4.46239698725194,4.85428773466258,5.18258809509446
"TF_ZBTB5",0.946289339073974,4.36011809261161,4.17996998805421,5.04386970444438
"TF_CREM",0.400695123533922,5.04354562594525,5.48641219378919,5.81724701997735
"TF_ZNF24",0.491092350243797,4.25081904562047,4.22323750985034,5.02823950648341
"TF_CTCF",0.0487295140373369,3.97875871805614,5.03953363473763,5.08149905006688
"TF_ASH1L",0.745139891944184,4.85076100905003,4.65283230987634,5.58643807503953
"TF_E2F1",0.608255965709795,5.13665174892426,4.7389871853784,5.61935238763013
"TF_NCOR1",0.417385780561464,4.81672979452132,5.04239104263188,5.66470398913566
"TF_NCOA4",0.931809616445719,4.43080968800063,4.1914941911457,5.23621760209386
"TF_PCBP2",0.712931390186277,3.41854402307937,2.85685396422358,2.46012535176433
"TF_JUN",0.311007693312057,4.9879307631472,5.46308752772914,5.7994727145702
"TF_MITF",0.428611269200825,5.27779425356499,5.38232546935696,5.93470975753459
"TF_ARHGAP35",1.01395028489375,4.04305534053218,3.66671336033718,4.77515348596533
"TF_ELF4",0.503451091832471,4.88532159934503,4.75895813713649,5.63228351069463
"TF_NFXL1",0.684647239311989,3.59980030169882,3.48897614354633,4.39806137532798
"TF_HNRNPK",0.696362558080533,4.18176355302231,3.71767933474414,3.58485691410465
"TF_MCM5",1.32042323420865,1.79077733117492,1.74777470425946,2.69048129843036
"TF_ARID2",0.46528021483897,4.59155812563639,4.97310226687522,5.64766128176557
"TF_BCOR",0.447495764512855,3.7177418123784,3.63807177973813,4.36133434172951
"TF_ZNF639",0.676149357650541,4.98267022291551,4.7714696844566,5.54835947131449
"TF_ZFP36",0.151878697540152,3.80146001395416,4.08038373643815,4.5675026412896
"TF_ZKSCAN1",0.36135584383679,4.74907859314483,4.56890796174723,5.38592234025729
"TF_NONO",0.692006781803759,5.25609247085033,4.50351463090937,4.52994679742514
"TF_PKNOX1",0.288536733540074,4.23095603124862,4.529070368402,5.03394233980629
"TF_U2AF1",0.678884761646927,5.1459389617279,4.52284201565638,4.55475845674828
"TF_PCBP1",0.657553761079932,4.85279553671163,4.32572825701042,4.43561174746645
"TF_POLR2AphosphoS2",0.49674958144859,4.28989441824974,3.83733743246871,4.68028584956762
"TF_ATF4",0.297640613424477,3.26990203199307,3.58422928339324,3.99475399398822
"TF_SMARCA4",0.25611747467584,4.98930848246407,4.5128933151384,5.65863830794104
"TF_E4F1",0.466737207933555,4.85273550030974,4.73018892323495,5.63971913406155
"TF_RFX5",0.46055149456603,5.02477251339473,4.86468287125349,5.7063199234533
"TF_CTBP1",0.400775078682834,4.66861103785914,4.74926910079159,5.31119736071494
"TF_BRD4",0.558285659407584,4.87757030935382,4.41998859714869,5.06724780335679
"TF_HMBOX1",0.232781011704883,4.24100990478603,4.4357511513763,5.07697587628619
"TF_PRPF4",0.719750092907233,5.11334760966671,4.46870298543385,4.7526240632448
"TF_U2AF2",0.32882918706175,1.62216857160179,1.76717908435596,1.68561873890442
"TF_ZMIZ1",0.575208333401797,5.08382938370701,5.37628605687835,5.79391045202547
"TF_FIP1L1",0.619486256647527,5.09058962038714,4.50887283085168,4.80465382816118
"TF_KLF16",0.247839995816705,4.95908730537399,5.33757447225926,5.93711509159312
"TF_CREB3L1",0.529762999781845,5.04406319956931,4.6536565691579,5.5353545673014
"TF_ZSCAN29",0.578627734385435,4.68584716458644,4.49943186139514,5.25093256273418
"TF_SMARCC2",0.373875115952174,4.74778386490691,4.7131035009264,5.54356397310463
"TF_GABPA",0.506478311572216,5.27061164712591,5.35489554432968,5.86230514189247
"TF_GABPB1",0.494681803438155,4.76843273198526,4.61248805201326,5.31963739191339
"TF_RBM22",0.431034173418869,4.2731332062277,3.71311433570983,3.9890508343295
"TF_C11orf30",0.179372828947816,3.38909312650254,3.8251844260977,4.23072983993418
"TF_MGA",0.408711390029666,4.31285814769661,4.42693009772064,4.8914842370553
"TF_TRIM24",0.495717249878005,4.29437199260563,4.78527431169234,5.26115486730668
"TF_ZNF143",0.226110920054911,4.67414825657871,5.38136096113709,5.80992841759929
"TF_MAX",0.377148310965364,4.71766409378636,4.93891391913357,5.28500305024411
"TF_ARNT",0.621728850885017,4.87741821767483,4.60226935653453,5.649735305769
"TF_ELF1",0.588335227630022,4.80890463411856,4.68802459264701,5.48740097777266
"TF_ZNF184",0.508344537251119,4.53045989829925,4.40937987177519,5.33649156270319
"TF_TCF12",0.317968811243784,4.48030348443897,5.16632984266925,5.4177692622346
"TF_SMAD1",0.606012265350316,5.32643277047056,4.97336413056548,5.85884133778493
"TF_KDM5B",0.581240561680577,5.01672047583306,4.4825635943253,5.15272153008409
"TF_DEAF1",0.677970208640073,5.31497105900042,4.92332355959719,5.91835032154546
"TF_IRF2",0.438857813276822,5.09819175793262,4.99323604149766,5.74265622490005
"TF_BHLHE40",0.37299434929243,4.90759296690904,5.21879210050258,5.61425274344703
"TF_BACH1",0.377100696012665,4.6733072272123,5.0716042334287,5.58902467745693
"TF_SMAD2",1.34248670553761,5.38104550581854,4.89286216679992,5.75843462055071
"TF_MCM3",0.897412129501618,2.20910955311697,2.66739920612611,3.24425763219196
"TF_SMAD5",0.610526320946988,4.95455044477379,4.45738341512381,5.18209609519728
"TF_NR3C1",0.911411654042887,4.64614257206649,4.16011789972496,5.24589512946244
"TF_CEBPZ",0.678095962149101,5.23647285210626,5.07678415842836,5.86336302991254
"TF_HDGF",0.627054482747383,4.63211215957654,4.34915360303136,5.40546623820335
"TF_ATF7",0.38646306023044,4.67389136106214,4.66443030586212,5.34696812083199
"TF_SMARCB1",0.329164046291435,4.9068248684197,4.54862696460171,5.54354900404168
"TF_ZHX1",0.72752363128896,5.36821528642161,5.03989922601249,5.92329391163855
"TF_GTF2F1",0.6653283804892,5.4154092778084,4.95421556178116,5.82605099704424
"TF_KDM4B",0.285540919956262,3.40157429138494,3.22450146800011,3.95267190692323
"TF_POLR2A",0.606219352776172,4.98456549053831,4.4649434415307,5.39724678500979
"TF_NCOA2",0.308841895822692,4.46209266723292,4.474901969853,5.29673541916853
"TF_MAFK",0.136198556752085,3.90500975174142,4.65636996927804,4.93896425188943
"TF_SKIL",0.488531614291709,4.98991270752443,4.7133379465204,5.5256534638495
"TF_L3MBTL2",0.410525210382499,4.47899452874197,4.51771810973296,5.05741048410523
"TF_KAT8",0.604872423699721,4.66796284494125,4.16377075567573,5.26782663462073
"TF_NFRKB",0.75903308154972,5.15105471273903,4.68454123073349,5.57470410091761
"TF_ATF3",0.202340487111421,3.59982655508149,4.28497224062214,4.4343549142358
"TF_E2F7",0.571202058015263,5.24526895207698,5.06107397813685,5.87388580646945
"TF_ILF3",0.598619623976955,4.95292631053495,4.6004173051024,5.03133557462809
"TF_ZBTB2",0.643907378925793,4.94362781891855,4.73482078061109,5.62606728202226
"TF_MYC",0.437098590226803,5.01332625657371,4.98911495541164,5.6248597609458
"TF_ZNF316",0.194427712689095,3.11267304313045,3.2863000769072,3.72131005837275
"TF_RBM17",1.24985855843961,4.57554417458051,4.25623343365902,2.98254683890391
"TF_SUPT5H",0.648601027418142,4.65513550709301,4.06700172497422,4.86317575727579
"TF_RBM34",0.70116879548063,5.36662799756905,4.73216278041073,4.7510833509828
"TF_NR2C2",0.536864499925777,5.14722674629638,5.16764425093555,5.77397367103077
"TF_RBM15",0.78839650238347,5.25548187611973,4.38810095275371,4.13874941607064
"TF_ZBTB11",0.620685930435467,5.1297093466539,4.86357841457227,5.60844932279303
"TF_CEBPB",0.222511365207776,3.43408013953267,4.10389862528629,4.28802648242034
"TF_THAP1",0.645473492214784,5.32996154040737,5.07550584299679,5.58803621170451
"TF_SMARCA5",0.520838518774706,3.72817082078015,3.52539234308244,4.41586430266184
"TF_FOXM1",0.405249384881603,4.86195238503894,5.03744444261657,5.71096787099641
"TF_RAD51",0.334844366265212,4.43749076492839,4.64932988902138,5.1945268430747
"TF_HES1",0.442721351507394,4.98430496193816,5.08464757326819,5.7234097295926
"TF_THRAP3",0.737739379194416,3.8332332880726,3.70767828278331,4.5050150581375
"TF_NR2F1",0.348429092137824,4.31555943674273,4.60292040961908,5.09917116296156
"TF_E2F8",0.602765709588503,5.12864735372844,4.85761229661295,5.78035628902409
"TF_DPF2",0.375148780712749,4.72155957072763,4.83285763232406,5.58237855071951
"TF_YBX3",1.09218766035539,4.1753135721862,3.69788286727655,4.96688334562915
"TF_SIX5",0.595100641378547,5.30552650734004,5.72122936140058,6.07816634550839
"TF_RBFOX2",0.491311841685818,4.37555359278797,3.98138606652472,4.41495132346342
"TF_SREBF1",0.645392114309974,5.40582621032456,5.22332733817564,6.00105255571639
"TF_ELK1",0.751273495759843,5.42503888602625,5.13310039533247,5.94616812559074
"TF_TAF15",0.121730190337558,4.6238638268825,3.97620354735806,4.64166276376015
"TF_FOXA1",0.61085121863449,4.42919718403821,4.94662089444986,5.2511987967334
"TF_ZBED1",0.604717168180454,5.30614567224106,4.9312769005317,5.76328242601977
"TF_TRIP13",0.680871133987782,4.36838336934803,4.39513864148289,5.38845039954955
"TF_NCOA6",0.482232327941134,4.9970895463831,4.66003663421595,5.24025862997614
"TF_PHF8",0.59568429985849,5.02586960466327,4.42244464792127,5.00844246664548
"TF_RBBP5",0.567727136517941,4.94770089803188,4.46043771605229,5.01668237629594
"TF_PYGO2",0.654648613872368,4.61412630557728,4.25777518603549,5.32220002408456
"TF_NUFIP1",0.67410690790916,4.9856001770442,4.81358524536808,5.73224462434192
"TF_SUZ12",0.554894014392136,5.27348520179736,5.59405840367187,6.10696336405635
"TF_FUS",0.631436266753436,5.26875667498718,4.61933728030696,4.59232604340373
"TF_SAP30",0.650038252088002,5.13916914230754,4.51060705407933,5.05140577836405
"TF_SRSF7",0.817008643246055,4.92898469580627,4.06196639461897,2.821723423635
"TF_EHMT2",0.592410247965073,4.30024606964219,4.76572578649742,5.33962468024564
"TF_HNRNPL",0.578209594687479,4.92413777889436,4.4283659698413,4.65311146736814
"TF_SAFB2",1.40051509513167,4.47746595482877,3.2742249679674,4.19428761237894
"TF_HNRNPLL",0.633897994859545,5.1403636206728,4.65577997269752,5.37987944139754
"TF_ZMYM3",0.158980179353943,2.13487464003401,2.25223829413897,2.86239847745921
"TF_TCF7L2",0.714065303783531,5.34858618741682,5.28982679904666,5.96329574750447
"TF_BRD9",0.556715420188958,4.8075053591347,4.56420259355732,5.51629263167847
"TF_KDM1A",0.378412012179769,3.90601549863579,4.22254438155716,4.73982266545043
"TF_NRF1",0.517444076362377,5.03955358127257,4.95492056342668,5.47556484118601
"TF_PRDM10",0.449596272400498,4.4966878852484,4.4802881731333,5.10583842265937
"TF_ZNF282",0.518952661756817,5.14354686255311,4.74562474533699,5.54330004622494
"TF_JUNB",0.38526487479243,5.14599229898331,5.08923440588307,5.89469637545951
"TF_MTA3",0.49921728825905,5.01513962738879,4.73931692705192,5.56365907118653
"TF_SNRNP70",0.446255162378179,4.29495398641751,3.85814827284332,4.21254102174932
"TF_ZBTB40",0.47931632148741,4.33707250707546,4.13457418663921,4.87439630727401
"TF_XRCC5",0.430643192939385,5.11232521887722,4.86587591086933,5.80805959750334
"TF_FOXK2",0.508827998395592,4.90514405309779,4.92067235613458,5.70253475028551
"TF_LEF1",0.39516309485883,4.84144809556151,4.87392457141091,5.68476769813264
"TF_HCFC1",0.572795990297678,5.35023408667615,5.38644505041968,5.94780103598313
"TF_NFATC3",0.552962070445481,4.8318724225711,4.66973821708327,5.60844954239671
"TF_RLF",0.621219175563279,5.12501328840332,4.71526999652206,5.43513184439362
"TF_CBX1",0.559088791974538,4.80969314375095,4.48438757911019,5.1001136241703
"TF_SETDB1",0.45001029545141,4.63031239697047,4.46275066873377,4.99678180463117
"TF_RUNX1",0.550561660618371,5.38287021801426,5.1326769587547,5.95102440456853
"TF_HDAC6",0.555804418901278,4.76469660468922,4.48595825483519,4.77292933194999
"TF_MTA2",0.673723130884195,4.95088260762079,4.74770125075609,5.60926494279418
"TF_SOX6",0.3456850740682,4.71422093699538,4.96474011726985,5.4659484603776
"TF_GATAD2A",0.594921876017388,4.99065547245285,4.83913543410089,5.53727775752229
"TF_PHF21A",0.601241696315295,5.08348449806838,4.95341143632587,5.64068439767503
"TF_CBFA2T2",0.24274775581501,4.36189154959185,5.13719272265785,5.28477419817016
"TF_CBFA2T3",0.267822078058792,4.15524227639195,4.91082790093038,5.04298036638273
"TF_GATAD2B",0.493889921025382,5.01040459667472,4.82514302355296,5.37557906591638
"TF_ZNF592",0.333751690010622,4.38755708912045,4.42652544727576,5.10994931245037
"TF_RCOR1",0.309422605103947,5.18010763635612,5.122770239531,5.96029018330246
"TF_ZNF830",0.143305799873907,2.32338941366564,2.27529709588086,2.77737536113474
"TF_MYBL2",0.466817255990314,4.50524192607971,4.68125528244766,5.33363939374349
"TF_POLR2G",0.393809205717549,4.25209264919648,3.80266872806141,4.14737660566047
"TF_XRCC3",0.36142202954623,2.71672580021855,3.61004353539888,3.45341940985094
"TF_ZC3H11A",0.730587713960531,5.25216148440651,5.05389090406856,5.86297801982007
"TF_NEUROD1",0.461149963915243,5.37436928599392,5.3100865833824,6.050522460888
"TF_NBN",0.537334629334023,5.00129470729341,4.80265924903174,5.720287730359
"TF_TBL1XR1",0.416360819396495,5.22194519417388,5.35240715774182,6.05232372731778
"TF_ESRRA",0.337189091673501,4.65734333497695,4.7027798514738,5.30886033424742
"TF_E2F6",0.473596024959633,4.92124671313661,5.04416717968975,5.20951664921425
"TF_HNRNPH1",0.88419626069857,4.69637353496622,3.97631293052424,4.03947523211774
"TF_HNRNPUL1",0.715582596107893,4.77796128812619,4.36781260891468,5.10902520858648
"TF_MTA1",0.617426299019694,4.86270453453969,4.75664682158757,5.59942970221775
"TF_TAF7",0.681614177654939,4.97261464542678,4.81446377484686,5.32660769757248
"TF_MXI1",0.591597889507252,5.36629573166335,5.17614301135933,5.90197894071094
"TF_NR2F2",0.355361984453843,4.93493325683941,5.08387514066834,5.71396216040006
"TF_SMC3",0.160947763282337,4.59296798675652,5.69384235043569,5.8512745831376
"TF_NR2F6",0.276157123008765,4.39917536664128,4.6975060627875,5.25037754788865
"TF_ZNF384",0.589460329193688,4.35385961363845,5.00512568282221,5.16703184293261
"TF_PML",0.45862594112965,5.06554479012937,4.73277166876378,5.5893691389872
"TF_POU5F1",0.71814155783585,5.51062856243844,5.53301697950708,6.17371950841388
"TF_MBD2",0.544833772229588,5.35265718818072,5.05718217324819,5.94059793682853
"TF_TBP",0.569344247051188,5.2139321281869,5.03116515292678,5.69862786770268
"TF_YBX1",1.39974485953713,2.98763795429424,2.71595358131599,4.15494402361888
"TF_EP300",0.306583670169207,4.88475383286847,5.42580895766071,5.80183520313969
"TF_DACH1",0.375539073745248,4.37661035057033,4.45910677662692,5.13167010435093
"TF_SAFB",0.546570306782929,5.05808937433542,4.6998048792475,4.73335127775203
"TF_ZFP91",0.514631883913111,4.37701838048153,4.13763979693061,4.83941473994179
"TF_ZBTB33",0.687682346929265,1.86153084303905,2.46703631852451,2.47128900993453
"TF_SIN3B",0.59027123680217,5.31462209422281,4.70331387645319,5.27876530771342
"TF_POLR2AphosphoS5",0.481764252329071,4.93921158938715,4.74979410138551,5.44434231513581
"TF_SNIP1",0.957226164784437,4.84145778516757,4.55910691015307,5.36275095772011
"TF_DDX20",0.5402935335878,5.14673186170691,4.91964234866563,5.9446324422787
"TF_MLLT1",0.784255384387293,4.78914434252044,4.49163993025288,5.33135111422082
"TF_PTBP1",0.477785277056743,4.53775504648216,4.13313902264558,4.95501017816513
"TF_GMEB1",0.587276161359711,4.89798695675271,4.61407411044886,5.44901092299865
"TF_AFF1",0.54886747960191,4.89043357292074,4.63631525941026,5.5783887605053
"TF_ATF2",0.14068546355341,3.13834316233461,3.56455646130343,3.94395999092352
"TF_FOSL1",0.197735948030552,5.07833318285321,5.81468857296928,5.97607533447401
"TF_MEF2A",0.314044329450837,5.00641489421924,5.6842924710265,5.86357599279055
"TF_RB1",0.513253604120962,5.15706179738001,5.18031516064624,5.60400239556544
"TF_TAF9B",0.581192762330662,5.07074032421886,4.69058154514249,5.62006056601085
"TF_MAFF",0.0925009822208729,3.50978647849455,4.36556415617265,4.57251759763994
"TF_SP1",0.592220356448017,5.27599533363208,4.93866270119015,5.63215422001242
"TF_PHF20",0.677868229445021,4.92638635744469,4.46974132938219,5.2779293456384
"TF_CCAR2",1.09823820528926,5.12424755993236,4.7005613568083,5.85598926581905
"TF_ARID3A",0.324530398929532,4.95913094202254,5.20312883522899,5.87815151541547
"TF_RBM39",0.641115115016831,5.02494428545089,4.54426865783946,5.54963981503909
"TF_TCF7",0.475801445339982,5.33400526269842,5.11833329438044,5.8872511333601
"TF_AGO1",0.281247669894775,4.31906603747218,3.78965507836972,4.1214479288544
