"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainATACNarrowPeaks_CerebellumAdult",0.117848394098402,0.0697102901993496,0.191715914056417,0.515536498248519
"MouseBrainATACNarrowPeaks_ForebrainEmbryo11.5days",0.28369736964164,0.279943272720946,0.408343322039922,0.77983115208939
"MouseBrainATACNarrowPeaks_ForebrainEmbryo12.5days",0.291489341865191,0.293587243618035,0.418888116868665,0.803776831603326
"MouseBrainATACNarrowPeaks_ForebrainEmbryo13.5days",0.199436520160031,0.172813788528938,0.303265259650658,0.645184759311896
"MouseBrainATACNarrowPeaks_ForebrainEmbryo14.5days",0.228350204259435,0.20715795011645,0.341035228226783,0.695224848602027
"MouseBrainATACNarrowPeaks_ForebrainEmbryo15.5days",0.214693825298031,0.19336888552893,0.319632968499739,0.67741100678122
"MouseBrainATACNarrowPeaks_ForebrainEmbryo16.5days",0.210871059586914,0.187485228359797,0.313799596965911,0.669000945121102
"MouseBrainATACNarrowPeaks_ForebrainPostnatal0days",0.208352544400402,0.182713135282825,0.310632646921864,0.668755771257029
"MouseBrainATACNarrowPeaks_FrontalCortexAdult",0.0881896860282261,-0.0135152987426501,0.153977540850764,0.416289967469993
"MouseBrainATACNarrowPeaks_HindbrainEmbryo11.5days",0.248097636203848,0.264599647609057,0.386665849697764,0.77139923657311
"MouseBrainATACNarrowPeaks_HindbrainEmbryo12.5days",0.233591096177118,0.236365855997843,0.363728594207025,0.759343157301871
"MouseBrainATACNarrowPeaks_HindbrainEmbryo13.5days",0.1961781439209,0.183083260638217,0.311355675484005,0.694156660527778
"MouseBrainATACNarrowPeaks_HindbrainEmbryo16.5days",0.138068092995294,0.0917288667993503,0.244640504225732,0.586032792793858
"MouseBrainATACNarrowPeaks_HindbrainPostnatal0days",0.152377928358721,0.129909199410402,0.265341620261164,0.638570886209919
"MouseBrainATACNarrowPeaks_MidbrainEmbryo11.5days",0.243337059451967,0.233039362376445,0.384614426221749,0.757918540380331
"MouseBrainATACNarrowPeaks_MidbrainEmbryo13.5days",0.169891476774197,0.152270224171513,0.291309921887624,0.660176739392643
"MouseBrainATACNarrowPeaks_MidbrainEmbryo15.5days",0.152289172875921,0.10800631413051,0.268056604515351,0.59883922302452
"MouseBrainATACNarrowPeaks_MidbrainEmbryo16.5days",0.203113593298106,0.182816649655798,0.317969994623109,0.694151899253452
"MouseBrainDNaseNarrowPeaks_BrainMaleAdult8weeks",0.0743728531282954,-0.000916077100754364,0.149336418119894,0.400276944740401
"MouseBrainDNaseNarrowPeaks_BrainMaleEmbryo14.5days",0.083854566017596,0.0177838558345123,0.192990985047537,0.434939456876723
"MouseBrainDNaseNarrowPeaks_BrainMaleEmbryo18.5days",0.251569083091031,0.237311906315899,0.353304709136886,0.669359417251844
"MouseBrainDNaseNarrowPeaks_CerebellumMaleAdult8weeks",0.213769053080714,0.200897059589835,0.307493288822371,0.621687885020965
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo 10.50days",0.282610468517635,0.326898672032964,0.458925963145919,0.836431349563512
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo11.5days",0.226451894554597,0.223476538944599,0.358594365485398,0.675427226391957
"MouseBrainDNaseNarrowPeaks_ForeBrainEmbryo14.5days",0.151171757946369,0.129729353471955,0.270436032580012,0.574330094950923
"MouseBrainDNaseNarrowPeaks_ForebrainPostnatal0days",0.172473635472169,0.133714977775728,0.263606268906109,0.571030245693603
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo10.50days",0.25626323845486,0.285398741769271,0.424700419762711,0.78095665791
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo11.5days",0.200336591437665,0.184745476369901,0.345988383643469,0.647600768911747
"MouseBrainDNaseNarrowPeaks_HindBrainEmbryo14.5days",0.126854742305497,0.115867097453169,0.248954760414229,0.519022011293572
"MouseBrainDNaseNarrowPeaks_HindBrainPostnatal0days",0.150557368397809,0.13804491200958,0.277822087823719,0.589400979409451
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo10.5days",0.312209736336726,0.341389931719661,0.470499511989395,0.868471757505962
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo11.5days",0.0261286103538829,-0.0513707919369573,0.0957202356821583,0.256928861572543
"MouseBrainDNaseNarrowPeaks_MidBrainEmbryo14.5days",0.140869720492748,0.0974521477857166,0.276844453409709,0.564550438661911
"MouseBrainDNaseNarrowPeaks_MidBrainPostnatal0days",0.164722285810345,0.130366931208254,0.280406975145638,0.592739833300335
"MouseBrainDNaseNarrowPeaks_TelencephalonMaleAdult8weeks",0.146805040668799,0.0799158792870749,0.210132510733736,0.489687096714338
"MouseBrainChIPTFs_Cerebellum_POLR2A",0.715839629912239,0.793227684603103,0.827436854964304,1.40752881683263
"MouseBrainChIPTFs_Cerebellum_CTCF",0.111331264129554,0.0552884061976329,0.203200225610189,0.483670557874536
"MouseBrainChIPTFs_CorticalPlate_POLR2A",0.647377487919531,0.717236647692079,0.791325622451719,1.31441325373816
"MouseBrainChIPTFs_CorticalPlate_CTCF",0.0682552091513564,0.036467160252716,0.161182436326666,0.449692854472158
"MouseBrainChIPTFs_ForeBrain_CTCF",0.134861447351774,0.143689095568117,0.272546025567191,0.604640746530212
"MouseBrainChIPTFs_HindBrain_CTCF",0.100211195566839,0.0862197493138446,0.229085181237942,0.528829148252278
"MouseBrainChIPTFs_MidBrain_CTCF",0.114321893377401,0.0697405331369403,0.233414889993554,0.526703002920428
"MouseBrainChIPTFs_OlfactoryBulb_CTCF",0.309332593660319,0.307187999678725,0.385142911579784,0.809008673857829
"MouseBrainChIPTFs_OlfactoryBulb_POLR2A",0.770779709514006,0.880052649900577,0.959158918310745,1.47031851219402
"MouseBrainChIPNHMs_CerebellumMaleAdult8Weeks_H3K4me3",0.648328776084874,0.760162767799354,0.816211550435153,1.36168574185784
"MouseBrainChIPNHMs_CerebellumMaleAdult8Weeks_H3K27ac",0.315075875240051,0.349910539037573,0.465943887193717,0.868900644666063
"MouseBrainChIPNHMs_CorticalPlateMaleAdult8Weeks_H3K27ac",0.368418873724114,0.379609747459366,0.4861092762252,0.90312652805931
"MouseBrainChIPNHMs_CorticalPlateMaleAdult8Weeks_H3K4me3",0.648893495060946,0.759551555326809,0.83541336110093,1.36270027686745
"MouseBrainChIPNHMs_ForebrainEmbryo10.5days_H3K27ac",0.280238903001386,0.31083428158588,0.436397735721084,0.899784156872538
"MouseBrainChIPNHMs_ForebrainEmbryo10.5days_H3K4me3",0.523839786999094,0.613803049814319,0.715505092615096,1.21901395125952
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K9ac",0.626461461565164,0.738265607761129,0.811408620298032,1.35739771088387
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K27ac",0.592463015881204,0.617936688698954,0.730927212875542,1.23397408783483
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K4me2",0.590680540463001,0.697760943432435,0.783783598946549,1.30552204305803
"MouseBrainChIPNHMs_ForebrainEmbryo11.5days_H3K4me3",0.672957514923276,0.790933669952594,0.874501009678252,1.40865688360038
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K4me2",0.510577940383481,0.595965453143247,0.688395043627679,1.18498230499037
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K4me3",0.61692402876082,0.731832155772604,0.824054277140537,1.34350854612602
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K9ac",0.60436033166755,0.714991506235457,0.794169613189887,1.3228775015952
"MouseBrainChIPNHMs_ForebrainEmbryo12.5days_H3K27ac",0.401496148189072,0.431627860831604,0.533202939982992,0.9982141215925
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K4me2",0.481309384563449,0.544502696971787,0.644840705258076,1.12220946386224
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K27ac",0.392936556121938,0.397056564898964,0.497165625069375,0.945269138347015
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K9ac",0.527186802612697,0.621075182731875,0.705655729162526,1.22301633402534
"MouseBrainChIPNHMs_ForebrainEmbryo13.5days_H3K4me3",0.603322466745134,0.703669388029887,0.799166197054177,1.30956970283852
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K27ac",0.463482086480482,0.501204119874753,0.570813934180869,1.05252472442123
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K4me3",0.632068070509689,0.74175986046756,0.833326312053323,1.35117407821044
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K4me2",0.528793856999389,0.613323706272649,0.711572786448656,1.1920890086598
"MouseBrainChIPNHMs_ForebrainEmbryo14.5days_H3K9ac",0.57469727150124,0.67491433567978,0.758409260751396,1.28027560415618
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K4me3",0.613603605005913,0.713645832782909,0.80169068894639,1.31005214842892
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K4me2",0.540126258594245,0.623677371680753,0.710122857676332,1.19686158351681
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K9ac",0.631578020271714,0.745657546826035,0.824517545095649,1.33982732220166
"MouseBrainChIPNHMs_ForebrainEmbryo15.5days_H3K27ac",0.362505494355513,0.3636604784677,0.462770387406795,0.872067960832737
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K4me3",0.653070987624446,0.769903989557619,0.843688712819571,1.37253740591406
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K4me2",0.544247493973057,0.63631620687644,0.718155839318104,1.20693804511341
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K27ac",0.487436994906894,0.517797851511876,0.58405261447918,1.05708305923178
"MouseBrainChIPNHMs_ForebrainEmbryo16.5days_H3K9ac",0.642858044333529,0.765485918930054,0.828954608248829,1.37418727800351
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me3",0.633809262875616,0.745481226798439,0.831672427620131,1.34078379587989
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K4me2",0.533379788771867,0.617003082187967,0.703878624119575,1.18362951626843
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K9ac",0.61688376922941,0.736342467926107,0.806963942995115,1.32006014608558
"MouseBrainChIPNHMs_ForebrainPostnatal0days_H3K27ac",0.473469383757894,0.521770066384306,0.603479449109138,1.06810708788979
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K27ac",0.27689035620493,0.316975551717263,0.441386128697324,0.896344181003187
"MouseBrainChIPNHMs_HindbrainEmbryo10.5days_H3K4me3",0.521380864720175,0.611632003150007,0.709444454421398,1.21859281289066
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me3",0.667793587027777,0.802413338532183,0.880885774864531,1.4183270709569
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K9ac",0.649919716181344,0.797448354192859,0.852157529842646,1.42019347270208
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K4me2",0.592194513903102,0.719991420026364,0.802400605430332,1.33405128886512
"MouseBrainChIPNHMs_HindbrainEmbryo11.5days_H3K27ac",0.510401760935292,0.582291009955899,0.690100027469658,1.20794358129619
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K9ac",0.586867265072222,0.712636087919133,0.787200232049376,1.32821116214829
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K27ac",0.390703986173499,0.436498395411274,0.559108665117428,1.02447342540298
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K4me3",0.620245920386285,0.735234914136971,0.822276851350132,1.34907952808313
"MouseBrainChIPNHMs_HindbrainEmbryo12.5days_H3K4me2",0.504599576666894,0.593908070855015,0.695802270335278,1.19101451182266
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K27ac",0.309100616472659,0.308588245459141,0.458233832476523,0.879607143882875
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K4me3",0.575019266844528,0.685652943174198,0.780495731960034,1.28124099002186
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K4me2",0.470952722736246,0.546656604549199,0.663474275563367,1.13034538306513
"MouseBrainChIPNHMs_HindbrainEmbryo13.5days_H3K9ac",0.454977000541735,0.542355435795372,0.636445285751783,1.13743099905674
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K27ac",0.40072343554527,0.4271709841404,0.545663619021006,0.986673548372519
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K4me2",0.473643751207916,0.552356354505442,0.665213389994801,1.13059871656752
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K4me3",0.602308489848788,0.717463395652643,0.808689118939494,1.31048758647133
"MouseBrainChIPNHMs_HindbrainEmbryo14.5days_H3K9ac",0.549240386517241,0.650616342925684,0.743450619755322,1.24931564516686
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K27ac",0.396005967122051,0.429232530116341,0.54154337127467,0.98831360170762
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K4me2",0.478390082453512,0.548033664092639,0.660703829587732,1.12087457725193
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K9ac",0.641136808787738,0.757032556645342,0.839531953590154,1.36964529360971
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K4me3",0.592228324284324,0.70044226890818,0.795142456990348,1.29385176092231
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K4me3",0.6340127491431,0.748648726344591,0.826640884713459,1.34878507233946
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K27ac",0.517972453429071,0.589125674184888,0.67839565100159,1.17813747281819
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K9ac",0.611928074790779,0.730385533227796,0.807569887595808,1.34288004809665
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K4me2",0.513854462540362,0.602434850720421,0.702947500797112,1.18289499036862
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K4me3",0.617545553085392,0.722687543381696,0.814005045272776,1.32201129429186
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K4me2",0.490934608072262,0.564439231977499,0.671566116193215,1.14195882722251
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K9ac",0.615114819061638,0.737175005735555,0.803002922125547,1.33350101863555
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K27ac",0.385512789211024,0.421774812030453,0.518893526851702,0.978025639356225
"MouseBrainChIPNHMs_MidbrainEmbryo10.5days_H3K4me3",0.511182553247863,0.598880341554967,0.710989521282848,1.210339605688
"MouseBrainChIPNHMs_MidbrainEmbryo10.5days_H3K27ac",0.293579888303913,0.313245126543265,0.448130701886964,0.890643120548809
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K4me3",0.666244700074675,0.785047979469034,0.875942653021955,1.41329800758537
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K27ac",0.556446367049602,0.615586860647319,0.721267131708228,1.23893192360917
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K4me2",0.579111098640645,0.673854460258941,0.778149987808284,1.29753610832094
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K9ac",0.604327264314243,0.72263804240152,0.800562330633792,1.34912124245098
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K9ac",0.594947754759733,0.697018716100828,0.788227644197033,1.33680567413269
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K4me2",0.501307876346232,0.5829924800458,0.694816492693985,1.18217477315377
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K4me3",0.607915165111717,0.723247926977827,0.816210335672569,1.33458961522075
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K27ac",0.387670083121247,0.419278524247694,0.55454796779927,1.00216292494364
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K27ac",0.355135261597646,0.381715912635411,0.505012701012646,0.952293020617869
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K4me2",0.492199197577637,0.565699087172909,0.677134671579939,1.15436179556427
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K9ac",0.524804242779886,0.619525094502762,0.71568170526082,1.23413527019265
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K4me3",0.576317874829961,0.680796889641211,0.780418939350838,1.28580459884333
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K4me2",0.491625622562957,0.561771398442279,0.680587705539871,1.14832236682431
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K9ac",0.588242972501021,0.700908143514614,0.786696717864242,1.31194971117196
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K4me3",0.613732847815175,0.72147433527989,0.817674565047437,1.32700708820918
