"","FlankUp5kByGene","FlankDn5kByGene","ExonByGene","IntronByGene"
"scCLTdegenNuc333",1.75805583326925,1.74323181049069,1.69246717346234,1.065434320301
"scCLTdegenNuc334",1.23068116771608,1.36487907465825,1.0531561461794,1.13573232323232
"scCLTdegenNuc335",1.37942664418212,1.39320388349515,0.805785123966942,0.934351145038168
"scCLTdegenNuc336",1.18355184743743,1.32968236582694,0.895910780669145,1.01936936936937
"scCLTdegenNuc404",1.875,1.54022988505747,NA,0.933823529411765
"scCLTdegenNuc406",NA,NA,NA,0.913793103448276
"scCLTdegenNuc408",NA,NA,NA,1.21276595744681
"scCLTdegenNuc409",1.09075630252101,1.37547892720307,1.09230769230769,1.225782414307
"scCLTdegenNuc410",1.46762589928058,1.40116279069767,NA,1.10826210826211
"scCLTdegenNuc411",2.03076923076923,1.61538461538462,NA,1.01190476190476
"scCLTdegenNuc337",1.45757575757576,1.41618497109827,1.02469135802469,1.09180651530109
"scCLTdegenNuc338",1.13425925925926,1.25365853658537,NA,1.1317494600432
"scCLTdegenNuc339",0.969214437367304,0.96794208893485,0.8,1.02819107282694
"scCLTdegenNuc340",1.62173038229376,1.75291828793774,1.62962962962963,1.04892703862661
"scCLTdegenNuc341",0.7117903930131,0.928020565552699,0.89041095890411,1.17439293598234
"scCLTdegenNuc342",1.50510204081633,1.76551724137931,NA,1.27839643652561
"scCLTdegenNuc343",0.899109792284866,1.10543130990415,0.686746987951807,0.915693904020752
"scCLTdegenNuc345",0.826330532212885,1.43220338983051,NA,1.19413919413919
"scCLTdegenNuc428",1.1963906581741,1.08233173076923,1.00355871886121,1.26710162119415
"scCLTdegenNuc387",2.53237410071942,2.97222222222222,1.73529411764706,0.770137524557957
"scCLTdegenNuc388",2.68367346938776,2.47826086956522,NA,1.02846975088968
"scCLTdegenNuc390",NA,NA,NA,0.857142857142857
"scCLTdegenNuc391",1.92857142857143,2.34920634920635,1.29761904761905,0.804276315789474
"scCLTdegenNuc392",1.59310344827586,1.74342105263158,1.22727272727273,0.88631090487239
"scCLTdegenNuc393",1.53424657534247,1.56521739130435,1.03658536585366,0.876344086021505
"scCLTdegenNuc413",2.61006944444444,2.22668321439652,1.17865707434053,0.733008799850215
"scCLTdegenNuc415",3.91861018562589,3.39872915011914,2.0156087408949,0.814233498172436
"scCLTdegenNuc394",1.32978723404255,1.48192771084337,NA,1.04232804232804
"scCLTdegenNuc395",2.15151515151515,1.92307692307692,NA,0.93719806763285
"scCLTdegenNuc397",1.19877675840979,1.06134969325153,0.762886597938144,1.14023210831721
"scCLTdegenNuc398",2.52884615384615,2.36885245901639,NA,0.68141592920354
"scCLTdegenNuc399",1.74137931034483,1.13432835820896,NA,0.989690721649485
"scCLTdegenNuc400",2.63768115942029,2.57746478873239,NA,0.860082304526749
"scCLTdegenNuc401",0.847457627118644,0.865853658536585,NA,0.893617021276596
"scCLTdegenNuc414",2.82044581091468,2.8424233490566,1.62335285505124,0.759065307452404
"scCLTdegenNuc323",1.10650887573965,1.23611111111111,NA,1.02142857142857
"scCLTdegenNuc324",0.764705882352941,NA,NA,1.59090909090909
"scCLTdegenNuc325",1.81818181818182,1.04285714285714,NA,1.72014925373134
"scCLTdegenNuc446",1.10996563573883,1.62565445026178,1.2280701754386,1.34126333059885
"scCLTdegenNuc447",2.11538461538462,1.08064516129032,NA,0.613545816733068
"scCLTdegenNuc448",NA,NA,NA,2.1
"scCLTdegenNuc451",1.09494473636528,1.23407880724175,0.932926829268293,1.14061075660893
"scCLTdegenNuc452",1.19664268585132,1.24767801857585,NA,1.09377664109122
"scCLTdegenNuc454",1.26086956521739,0.9,NA,0.930232558139535
"scCLTdegenNuc455",1.01369863013699,1,NA,1.53370786516854
"scCLTdegenNuc456",0.875399361022364,1.05511811023622,NA,0.789766407119021
"scCLTdegenNuc457",1.3976401179941,1.28259551243178,1.36393442622951,1.23142201834862
"scCLTdegenNuc326",0.545454545454545,0.767326732673267,NA,1.1
"scCLTdegenNuc348",0.827956989247312,0.641975308641975,NA,1.50340136054422
"scCLTdegenNuc439",1.32476635514019,1.71042944785276,0.946236559139785,0.849936143039591
"scCLTdegenNuc440",1.61748013620885,1.1415770609319,0.795555555555556,1.10094850948509
"scCLTdegenNuc441",0.584507042253521,0.747368421052632,NA,0.742574257425743
"scCLTdegenNuc442",1.09808102345416,1.18020304568528,NA,1.29252259654889
"scCLTdegenNuc443",0.894366197183099,0.919753086419753,NA,1.13577586206897
"scCLTdegenNuc444",0.966257668711656,1.04528301886792,NA,1.10445468509985
"scCLTdegenNuc445",0.658415841584158,0.561643835616438,NA,1.1973018549747
"scCLTdegenNuc458",1.49766355140187,1.4036021285305,0.638510445049955,0.817694994179278
"scCLTdegenNuc459",1.6197628458498,1.69349195241428,1.00655737704918,0.868176914778857
"scCLTdegenNuc460",1.49350649350649,1.46676197283774,1.56382978723404,0.800684345594525
"scCLTdegenNuc462",2.04427736006683,2.58643549209587,1.33545647558386,0.804169514695831
"scCLTdegenNuc465",1.92124735729387,2.0571736785329,1.60446247464503,0.95908879590888
"scCLTdegenNuc466",2.13408239700375,2.09134948096886,1.76223776223776,0.952447552447552
"scCLTdegenNuc467",2.13859852884243,2.08258774948383,2.00916030534351,0.912742382271468
"scCLTdegenNuc468",1.65673781459063,1.65601092896175,1.53660322108346,0.958459468550286
"scCLTdegenNuc469",1.75631911532385,1.84855852726641,1.57894736842105,0.944073606350352
"scCLTdegenNuc473",1.07089552238806,1.59868421052632,NA,1.21149425287356
"scCLTdegenNuc474",1.2639751552795,0.914364640883978,0.574712643678161,1.25523012552301
"scCLTdegenNuc475",1.76712328767123,0.955223880597015,NA,0.948717948717949
"scCLTdegenNuc476",1.13333333333333,1.03886925795053,0.649350649350649,1.12855007473842
"scCLTdegenNuc477",1.22866894197952,1.0863309352518,NA,0.929161747343565
"scCLTdegenNuc478",1.27799227799228,1.25441696113074,1.32394366197183,1.16493656286044
"scCLTdegenNuc480",1.38257575757576,1.5,NA,1.37413073713491
"scCLTdegenNuc481",1.05078125,0.943333333333333,NA,1.23606557377049
"scCLTdegenNuc482",1.0197628458498,1.72602739726027,NA,1.30315789473684
"scCLTdegenNuc483",1.19217081850534,1.3659793814433,NA,0.911373707533235
"scCLTdegenNuc484",1.19662921348315,1.43333333333333,NA,1.35555555555556
"scCLTdegenNuc485",1.25714285714286,1.15328467153285,NA,1.01909307875895
"scCLTdegenNuc495",2.7180877279448,2.55913978494624,2.72198275862069,0.82973708068903
"scCLTdegenNuc496",NA,NA,NA,1.15789473684211
"scCLTdegenNuc497",NA,NA,NA,1
"scCLTdegenNuc498",NA,0.901639344262295,NA,1.02727272727273
"scCLTdegenNuc499",NA,2.4,NA,1.20238095238095
"scCLTdegenNuc500",NA,NA,NA,1.27777777777778
"scCLTdegenNuc501",NA,1.01785714285714,NA,0.813432835820896
"scCLTdegenNuc502",NA,1.57377049180328,NA,1.06837606837607
"scCLTdegenNuc503",NA,1.87301587301587,NA,1.05660377358491
"scCLTdegenNuc504",NA,NA,NA,0.961038961038961
"scCLTdegenNuc505",1.03508771929825,1.30769230769231,NA,1.22093023255814
"scCLTdegenNuc506",NA,NA,NA,1.36904761904762
"scCLTdegenNuc507",NA,NA,NA,0.8875
"scCLTdegenNuc508",NA,NA,NA,1.11538461538462
"scCLTdegenNuc509",NA,NA,NA,1.27027027027027
"scCLTdegenNuc510",NA,NA,NA,NA
"scCLTdegenNuc511",1.06586826347305,1.36309523809524,1.18518518518519,1.17439293598234
"scCLTdegenNuc512",0.867052023121387,0.960227272727273,0.905263157894737,1.19398907103825
"scCLTdegenNuc513",0.855263157894737,1.11688311688312,1.19354838709677,1.21859296482412
"scCLTdegenNuc514",1.57236842105263,1.50920245398773,1.52439024390244,1.00581395348837
"scCLTdegenNuc515",2,2.30635838150289,2.49557522123894,0.820613690007868
"scCLTdegenNuc516",1.13440860215054,0.803370786516854,1.21311475409836,1.56111111111111
"scCLTdegenNuc517",1.92723004694836,2.30848329048843,1.71523178807947,1.0949957591179
"scCLTdegenNuc518",1.9060773480663,1.66511627906977,1.7032967032967,1.07627118644068
"scCLTdegenNuc521",NA,NA,NA,NA
"scCLTdegenNuc522",NA,NA,NA,NA
"scCLTdegenNuc523",NA,NA,NA,1.16666666666667
"scCLTdegenNuc524",NA,NA,NA,NA
"scCLTdegenNuc525",NA,NA,NA,NA
"scCLTdegenNuc526",NA,NA,NA,1.04477611940298
"scCLTdegenNuc527",NA,NA,NA,NA
"scCLTdegenNuc528",NA,NA,NA,NA
"scCLTdegenNuc529",NA,NA,NA,0.918918918918919
"scCLTdegenNuc530",NA,NA,NA,NA
"scCLTdegenNuc531",NA,1.85074626865672,NA,0.858638743455497
"scCLTdegenNuc532",1.76315789473684,1.20618556701031,NA,0.516949152542373
"scCLTdegenNuc533",NA,NA,NA,1.43157894736842
"scCLTdegenNuc534",3.6969696969697,2.86567164179104,NA,0.584229390681004
"scCLTdegenNuc535",1.79889807162534,1.80487804878049,1.46327683615819,0.94070796460177
"scCLTdegenNuc536",NA,1.38461538461538,NA,1.07207207207207
"scCLTdegenNuc537",NA,NA,NA,0.892857142857143
"scCLTdegenNuc542",NA,NA,NA,NA
"scCLTdegenNuc543",NA,NA,NA,NA
"scCLTdegenNuc544",NA,NA,NA,1.07843137254902
"scCLTdegenNuc545",NA,NA,NA,NA
"scCLTdegenNuc546",NA,NA,NA,NA
"scCLTdegenNuc547",NA,NA,NA,NA
"scCLTdegenNuc548",NA,NA,NA,NA
"scCLTdegenNuc549",NA,NA,NA,NA
"scCLTdegenNuc550",NA,NA,NA,1.19178082191781
"scCLTdegenNuc551",1.31958762886598,1.46666666666667,NA,0.954337899543379
"scCLTdegenNuc552",0.948051948051948,1.07142857142857,NA,0.988571428571429
"scCLTdegenNuc553",1.35714285714286,1.20588235294118,NA,1.00502512562814
"scCLTdegenNuc554",1.48148148148148,1.32307692307692,NA,1.15328467153285
"scCLTdegenNuc555",NA,NA,NA,1.02380952380952
"scCLTdegenNuc556",1.07042253521127,NA,NA,0.970238095238095
"scCLTdegenNuc557",1.55056179775281,1.39,NA,0.975806451612903
"scCLTdegenNuc558",1.31067961165049,1.54716981132075,NA,1.28185328185328
"scCLTdegenNuc559",NA,NA,NA,NA
"scCLTdegenNuc561",NA,NA,NA,NA
"scCLTdegenNuc562",NA,NA,NA,NA
"scCLTdegenNuc563",NA,NA,NA,1.53424657534247
"scCLTdegenNuc564",NA,NA,NA,1.13186813186813
"scCLTdegenNuc565",NA,NA,NA,1.37878787878788
"scCLTdegenNuc566",NA,NA,NA,NA
"scCLTdegenNuc567",NA,NA,NA,NA
"scCLTdegenNuc568",NA,NA,NA,NA
"scCLTdegenNuc570",NA,NA,NA,0.734939759036145
"scCLTdegenNuc573",NA,NA,NA,NA
"scCLTdegenNuc603",0.974358974358974,1.1,NA,1.05555555555556
"scCLTdegenNuc604",1.10169491525424,NA,NA,0.875862068965517
"scCLTdegenNuc605",NA,NA,NA,0.892857142857143
"scCLTdegenNuc606",NA,NA,NA,0.953125
"scCLTdegenNuc607",0.642105263157895,1.20547945205479,NA,1.06829268292683
"scCLTdegenNuc608b",NA,1.26229508196721,NA,1.01298701298701
"scCLTdegenNuc609b",3.66666666666667,2.68458781362007,1.60606060606061,0.966974900924703
"scCLTdegenNuc610b",1.71241830065359,1.93571428571429,NA,0.926406926406926
"scCLTdegenNuc612b",NA,NA,NA,NA
"scCLTdegenNuc613b",NA,NA,NA,0.884057971014493
"scCLTdegenNuc614b",2.06896551724138,NA,NA,0.621212121212121
"scCLTdegenNuc615b",1.1326714801444,0.88458298230834,1.14925373134328,0.801103920822231
"scCLTdegenNuc616b",5.13793103448276,3.35526315789474,NA,1.22994652406417
"scCLTdegenNuc617b",6.05839416058394,2.58284023668639,1.9746835443038,0.857142857142857
"scCLTdegenNuc618b",NA,2.69642857142857,NA,1.12068965517241
"scCLTdegenNuc619b",NA,NA,NA,0.91025641025641
"scCLTdegenNuc576",2.27350427350427,2.64406779661017,NA,1.09885931558935
"scCLTdegenNuc601",1.84126984126984,2.79518072289157,1.30985915492958,0.900226757369615
"scCLTdegenNuc602",2.29047619047619,2.5781990521327,NA,0.997506234413965
"scCLTdegenNuc620",2.17241379310345,1.58947368421053,NA,0.832402234636871
"scCLTdegenNuc621",1.26086956521739,0.827586206896552,0.768421052631579,0.886206896551724
"scCLTdegenNuc622",2.07116788321168,2.13973063973064,1.16143497757848,0.899850523168909
"scCLTdegenNuc623",1.41504854368932,1.56410256410256,1.70192307692308,0.948571428571429
"scCLTdegenNuc624",2.56087219866747,2.18206229860365,1.61344537815126,0.870929190319689
"scCLTdegenNuc625",1.96774193548387,2.22222222222222,NA,0.839622641509434
"scCLTdegenNuc626",1.52958411329047,1.4721631959201,1.45062638172439,1.00449236298293
"scCLTdegenNuc627",1.80091086532206,1.73591095489162,1.61757269279393,1.10511903856393
"scCLTdegenNuc654",2.4950495049505,2.81544117647059,1.71995708154506,0.864782455728861
"scCLTdegenNuc655",2.37220691766146,2.22815013404826,1.08693441789527,0.832638120371159
"scCLTdegenNuc577b",NA,NA,NA,NA
"scCLTdegenNuc579b",NA,NA,NA,NA
"scCLTdegenNuc580b",3.85217391304348,4.34453781512605,NA,0.943355119825708
"scCLTdegenNuc581b",3.29807692307692,2.68794326241135,NA,0.707920792079208
"scCLTdegenNuc582b",2.83068783068783,2.92964824120603,NA,0.904273504273504
"scCLTdegenNuc583b",NA,NA,NA,0.88659793814433
"scCLTdegenNuc584b",NA,NA,NA,0.875
"scCLTdegenNuc585b",NA,2.94545454545455,NA,0.857954545454545
"scCLTdegenNuc586b",1.15254237288136,1.56910569105691,1.20588235294118,0.828178694158076
"scCLTdegenNuc587b",4.09803921568627,3.31666666666667,NA,0.615789473684211
"scCLTdegenNuc588b",NA,1.5,NA,0.606741573033708
"scCLTdegenNuc589b",NA,NA,NA,1
"scCLTdegenNuc590b",NA,3.75438596491228,NA,0.522012578616352
"scCLTdegenNuc591b",NA,NA,NA,NA
"scCLTdegenNuc592b",1.28571428571429,1.42424242424242,NA,0.857142857142857
"scCLTdegenNuc593b",NA,NA,NA,0.764705882352941
"scCLTdegenNuc594b",NA,NA,NA,NA
"scCLTdegenNuc595b",2.56363636363636,2.70642201834862,NA,0.62565445026178
"scCLTdegenNuc596b",NA,1.56,NA,1.14179104477612
"scCLTdegenNuc597b",NA,NA,NA,1.3780487804878
"scCLTdegenNuc598b",NA,2.13636363636364,NA,1.0327868852459
"scCLTdegenNuc599b",2.2,2.57246376811594,NA,0.716117216117216
"scCLTdegenNuc600b",1.39344262295082,1.66666666666667,NA,1.1878453038674
"scCLTdegenNuc656",2.17867873578519,2.35876273328872,1.53531417437896,0.811842311920842
"scCLTdegenNuc657",2.15971887065637,2.21385988603801,1.36847710330138,0.774082073434125
"scCLTdegenNuc663",2.8125,2.55913978494624,NA,1.17616580310881
"scCLTdegenNuc664",1.66101694915254,1.53125,0.730434782608696,0.893258426966292
"scCLTdegenNuc697",2.12068965517241,NA,NA,0.864864864864865
"scCLTdegenNuc698",NA,NA,NA,1.07692307692308
"scCLTdegenNuc699",NA,NA,NA,1.21686746987952
"scCLTdegenNuc735",1.5,1.68085106382979,NA,1.18947368421053
"scCLTdegenNuc736",1.11304347826087,0.9453125,NA,0.872093023255814
"scCLTdegenNuc737",0.993150684931507,1.25210084033613,NA,1.03571428571429
"scCLTdegenNuc738",1.12385321100917,1.09349593495935,NA,0.971153846153846
"scCLTdegenNuc739",1.21264367816092,1.35714285714286,NA,1.09655172413793
"scCLTdegenNuc740",1.02290950744559,0.984007242003621,1.17913385826772,0.994181634201872
"scCLTdegenNuc741",1.11428571428571,1.19166666666667,2.6875,0.964183381088825
"scCLTdegenNuc742",1.04787093361545,1.04158790170132,1.06339144215531,0.926589810338416
"scCLTdegenNuc743",0.86404833836858,1.2057761732852,1,0.953161592505855
"scCLTdegenNuc744",1.21036585365854,1.35854341736695,1.38532110091743,0.964035087719298
"scCLTdegenNuc745",1.16556291390728,1.11875,0.985507246376812,1.26296958855098
"scCLTdegenNuc746",1.24598930481283,0.926701570680628,1.02985074626866,1.01808785529716
"scCLTdegenNuc747",1.01025641025641,1.24590163934426,NA,0.84406779661017
"scCLTdegenNuc748",1.07608695652174,1.11016949152542,NA,1.09415584415584
"scCLTdegenNuc749",1.24380165289256,1.07142857142857,1.23469387755102,0.908952959028832
"scCLTdegenNuc750",1.28994082840237,1.25,NA,1.0762987012987
"scCLTdegenNuc751",0.95959595959596,1.25958702064897,1.25806451612903,1.00412881915772
"scCLTdegenNuc752",1.05625,1.37486218302095,1.38461538461538,0.95086282538754
"scCLTdegenNuc753",1.81944444444444,0.969072164948454,NA,0.850877192982456
"scCLTdegenNuc754",1.33116883116883,1.69158878504673,NA,1.07774798927614
"scCLTdegenNuc766",1.16253443526171,1.21652421652422,0.851351351351351,1.10857142857143
"scCLTdegenNuc767",1.45397489539749,1.32934131736527,2.22,1.19371727748691
"scCLTdegenNuc768",0.58695652173913,1.32758620689655,NA,0.675213675213675
"scCLTdegenNuc769",1.23809523809524,0.841004184100418,NA,1.02479338842975
"scCLTdegenNuc770",2.07729468599034,2.91760299625468,NA,1.11027568922306
"scCLTdegenNuc771",1.20394736842105,1.78846153846154,NA,1.06352459016393
"scCLTdegenNuc772",1.61627906976744,1.37037037037037,NA,0.819070904645477
"scCLTdegenNuc773",1,2.77027027027027,NA,1.05527638190955
"scCLTdegenNuc774",0.745454545454545,2.87878787878788,NA,0.731617647058823
"scCLTdegenNuc775",1.25423728813559,NA,NA,0.819587628865979
"scCLTdegenNuc776",1.33179723502304,1.13915857605178,NA,1.00540540540541
"scCLTdegenNuc777",1.17161016949153,1.19193857965451,1.1375,1.16931216931217
"scCLTdegenNuc778",1.1931330472103,0.976315789473684,1.13461538461538,1.23694779116466
"scCLTdegenNuc779",1.52046783625731,1.36516853932584,NA,1.203125
"scCLTdegenNuc780",0.935205183585313,0.801546391752577,1,1.04807692307692
"scCLTdegenNuc781",1.26809651474531,1.04095563139932,0.938271604938272,1.08372093023256
"scCLTdegenNuc782",1.22658610271903,1.02952029520295,1.19540229885057,1.0650406504065
"scCLTdegenNuc783",1.25525525525526,1.10337552742616,1.22413793103448,1.17114093959732
"scCLTdegenNuc784",1.21882951653944,1.1468085106383,1.66666666666667,1.44594594594595
"scCLTdegenNuc785",1.25506072874494,1.05721393034826,1,1.14233576642336
"scCLTdegenNuc786",1.15718157181572,1.01909722222222,1.04347826086957,1.08606557377049
"scCLTdegenNuc787",1.29260450160772,1.2027972027972,1.32075471698113,1.26209677419355
"scCLTdegenNuc812",NA,NA,NA,0.888888888888889
"scCLTdegenNuc813",NA,NA,NA,1.26470588235294
"scCLTdegenNuc814",NA,NA,NA,1
"scCLTdegenNuc815",3.30379746835443,3.57847533632287,2.6,0.889322916666667
"scCLTdegenNuc816",NA,NA,NA,1.43939393939394
"scCLTdegenNuc819",2.65822784810127,2.26984126984127,NA,1.08474576271186
"scCLTdegenNuc820",0.877659574468085,1.31791907514451,NA,0.801587301587302
"scCLTdegenNuc821",2.82549550658624,2.87685323526031,1.70213700234192,0.780242979486158
"scCLTdegenNuc788",NA,NA,NA,1.6046511627907
"scCLTdegenNuc789",NA,NA,NA,1.32075471698113
"scCLTdegenNuc790",2.25641025641026,2.52,NA,0.828125
"scCLTdegenNuc791",NA,NA,NA,1.27380952380952
"scCLTdegenNuc792",0.909090909090909,NA,NA,1.15748031496063
"scCLTdegenNuc793",NA,NA,NA,1.54
"scCLTdegenNuc794",1.48387096774194,1.28571428571429,NA,1.33884297520661
"scCLTdegenNuc795",0.983050847457627,1.46,NA,1.38135593220339
"scCLTdegenNuc808",1.84645669291339,2.05327868852459,NA,1.06705539358601
"scCLTdegenNuc809",3.17814393379636,3.05063371759761,2.038513210927,0.781796029130784
"scCLTdegenNuc797",1.12244897959184,2.01315789473684,NA,1.35555555555556
"scCLTdegenNuc798",1.55172413793103,NA,NA,1.38095238095238
"scCLTdegenNuc799",1.16901408450704,1.47286821705426,NA,1.28
"scCLTdegenNuc835",1.94520547945205,2.05555555555556,NA,1.25161290322581
"scCLTdegenNuc836",NA,NA,NA,1.26881720430108
"scCLTdegenNuc837",2.875,3.18,NA,1.01595744680851
"scCLTdegenNuc838",NA,1.53225806451613,NA,0.836477987421384
"scCLTdegenNuc840",4.09345794392523,3.55172413793103,NA,0.981481481481482
"scCLTdegenNuc843",NA,NA,NA,0.951456310679612
"scCLTdegenNuc803",NA,2,NA,1.08333333333333
"scCLTdegenNuc807",2.94915254237288,3.10236220472441,NA,1.1125
"scCLTdegenNuc906_b",NA,NA,NA,1.49242424242424
"scCLTdegenNuc907_b",1.5,NA,NA,1.1010101010101
"scCLTdegenNuc908_b",2.98795180722892,1.64935064935065,NA,1.43382352941176
"scCLTdegenNuc933",1.5398773006135,1,NA,0.845
"scCLTdegenNuc935",1.59090909090909,0.741496598639456,NA,0.855072463768116
"scCLTdegenNuc936",1.975,0.803149606299213,1.32098765432099,0.648562300319489
"scCLTdegenNuc938",2.53286384976526,3.07033639143731,NA,0.787012987012987
"scCLTdegenNuc942",2.72944297082228,2.86199095022624,NA,1.56491228070175
"scCLTdegenNuc943",1.14659685863874,1.31707317073171,NA,1.00797872340426
"scCLTdegenNuc944",2.15315315315315,2.75824175824176,NA,0.899280575539568
"scCLTdegenNuc945",1.74137931034483,0.855421686746988,NA,0.908163265306122
"scCLTdegenNuc946",1.52564102564103,0.940909090909091,NA,0.911885245901639
"scCLTdegenNuc947",2.66,1.02352941176471,NA,0.821596244131455
"scCLTdegenNuc948",0.885714285714286,0.421052631578947,NA,0.769911504424779
"scCLTdegenNuc949",1.49713193116635,0.763205828779599,1.76470588235294,1.12109061748196
"scCLTdegenNuc951",2.2239263803681,1.51146384479718,2.64150943396226,0.955479452054795
"scCLTdegenNuc952",1.40776699029126,1.06849315068493,NA,0.886426592797784
"scCLTdegenNuc953",0.897058823529412,0.886554621848739,NA,0.88821752265861
"scCLTdegenNuc954",1.37121212121212,1.13669064748201,1.21428571428571,0.720977596741344
"scCLTdegenNuc955",1.144,1.25645438898451,1.45714285714286,0.906937394247039
"scCLTdegenNuc956",1.65106382978723,1.94029850746269,1.30434782608696,0.877750611246944
"scCLTdegenNuc958",NA,NA,NA,NA
"scCLTdegenNuc959",NA,NA,NA,NA
"scCLTdegenNuc960",NA,NA,NA,0.944444444444444
"scCLTdegenNuc961",NA,NA,NA,NA
"scCLTdegenNuc962",NA,NA,NA,1.46031746031746
"scCLTdegenNuc963",0.794117647058823,NA,NA,1.70909090909091
"scCLTdegenNuc966",NA,NA,NA,NA
"scCLTdegenNuc970",1.01428571428571,0.815789473684211,NA,1.38683127572016
"scCLTdegenNuc979",0.934390377255331,0.720601237842617,0.778301886792453,0.950261780104712
"scCLTdegenNuc1004",0.503188097768332,0.419649291376411,0.32183908045977,1.13647642679901
"scCLTdegenNuc1005",0.9744,1.05671641791045,0.762264150943396,0.963562753036437
"scCLTdegenNuc1006",0.628113879003559,0.636817992503124,0.714285714285714,0.895287958115183
"scCLTdegenNuc1007",1.28047895500726,1.17957117331745,1.22511848341232,0.939359698681733
"scCLTdegenNuc1008",1.09136047666336,1.1792759051186,1.25121951219512,0.847748815165877
"scCLTdegenNuc1009",1.1952779144122,1.49436475409836,1.31279620853081,0.812865497076023
"scCLTdegenNuc1010",0.574264705882353,0.692827158240555,0.462311557788945,1.18224299065421
"scCLTdegenNuc1011",0.490051256625812,0.534707271630768,0.367907008735126,0.978411927410106
"scCLTdegenNuc1012",0.481268513678341,0.568754254594963,0.384,1.1280193236715
"scCLTdegenNuc1013",0.73630717108978,0.815713460427499,0.767676767676768,1.07551487414188
"scCLTdegenNuc1077",1.10344827586207,NA,NA,0.900584795321637
"scCLTdegenNuc1078",NA,NA,NA,0.902654867256637
"scCLTdegenNuc1079",0.96551724137931,1.40566037735849,NA,1.03040540540541
"scCLTdegenNuc1080",0.924590163934426,1.08949416342412,0.78125,1.12162162162162
"scCLTdegenNuc1094",0.568181818181818,0.530612244897959,NA,0.995
